Row.names,Trophoblasts,Stromal,Hofbauer,Endothelial,nRBC,Syncytiotrophoblast,CellType_PC1,CellType_PC2,CellType_PC3,CellType_PC4,CellType_PC5,Sample_Name,sample_id,Predicted_Sex
203541690114_R01C01_PLAC,0.013308591,0,0.001338497,0.020520015,0.040084119,0.924748778,0.518984179,0.054041169,-0.355956731,0.73970222,0.025475773,5794_crdpl,5794,Female
203541690114_R03C01_PLAC,0.006910894,0,0,0.00494092,0.011976542,0.976171644,1.279397238,-1.683689623,-0.981610807,-0.367811836,0.015570749,5854_CRDPL,5854,Male
203541690114_R06C01_PLAC,0,0,0,0.016080868,0.007014562,0.97690457,-2.435318222,-2.889125375,0.523445475,-0.264753999,-0.00373126,5800_CRDPL,5800,Female
203541700002_R02C01_PLAC,0.049157237,0,0.001444476,0.009901894,0.01762344,0.921872954,1.827416041,0.747828612,-0.531656611,-0.07401259,0.008917041,5504_CRDPL,5504,Female
203541700002_R04C01_PLAC,0,0,0.014795281,0.009618548,0.012975009,0.962611162,-4.477414622,1.242672718,0.229227307,-0.420430316,-0.005633349,0104_crdpl,104,Female
203541700002_R07C01_PLAC,0,0,0.00372286,0.014572974,0.003872596,0.977831571,-3.751280389,0.206722321,1.117597393,-0.965871115,-0.008941016,5516_CRDPL,5516,Male
203541700005_R02C01_PLAC,0.03768921,0.013088941,0,0.06804714,7.76E-05,0.881097077,2.812273047,-2.741626708,2.864808923,-4.356713224,-3.61372039,5313_crdpl,5313,Female
203541700005_R04C01_PLAC,0,0,5.88E-04,0.012576105,0.022951253,0.963884843,-3.390517445,-1.435610833,-0.171393223,0.284710722,0.004083006,5273_CRDPL,5273,Male
203541700005_R05C01_PLAC,0.115773674,0,0.003623466,0.026425695,0.018359339,0.835817826,2.190416487,1.403055074,0.252171377,0.269009135,-0.036556583,5134_CRDPL,5134,Male
203541700005_R07C01_PLAC,0.080054061,0.036456809,0,0.080265942,0,0.803223188,3.459046559,-2.793075686,3.173950816,-5.089984183,-4.418641797,5301_crdpl,5301,Female
